50
200 200 200 500
17, 16
20, 8
11, 38
11, 8
15, 49
29, 23
33, 21
8, 21
44, 40
36, 4
31, 48
44, 38
39, 15
9, 14
17, 31
25, 48
24, 18
29, 36
47, 29
11, 20
49, 50
48, 23
11, 5
21, 11
34, 41
33, 43
10, 44
49, 40
5, 22
20, 43
11, 44
35, 40
32, 6
23, 26
3, 32
40, 48
33, 22
38, 15
24, 1
50, 36
24, 13
31, 34
5, 39
28, 42
14, 8
37, 43
16, 22
28, 8
43, 37
12, 50
29, 38
21, 5
40, 7
23, 25
1, 15
2, 37
36, 15
15, 26
49, 46
22, 18
48, 32
48, 17
35, 17
5, 9
41, 22
24, 28
6, 9
8, 16
12, 10
8, 33
24, 44
37, 38
25, 16
18, 23
49, 29
47, 4
26, 25
15, 4
40, 43
47, 23
1, 26
43, 36
36, 30
13, 37
2, 25
39, 8
28, 40
44, 31
12, 6
44, 28
29, 46
1, 30
2, 8
44, 23
34, 26
23, 24
34, 38
8, 20
26, 44
45, 19
50, 26
33, 29
37, 46
39, 33
46, 5
13, 21
30, 21
8, 34
47, 35
12, 46
38, 4
29, 22
15, 9
4, 26
17, 39
34, 20
15, 3
16, 10
5, 40
43, 41
33, 47
11, 10
47, 16
35, 37
13, 35
42, 37
15, 13
50, 8
31, 41
47, 39
21, 13
42, 12
9, 36
50, 41
14, 41
48, 38
15, 18
38, 6
39, 38
43, 11
10, 28
29, 11
24, 9
32, 43
4, 17
45, 11
37, 28
46, 50
5, 44
6, 5
9, 29
29, 30
17, 3
50, 1
2, 22
17, 28
16, 38
1, 42
23, 47
23, 38
13, 11
45, 18
9, 5
37, 14
7, 17
49, 31
17, 46
3, 6
11, 48
15, 2
35, 6
30, 22
41, 17
43, 24
27, 46
31, 27
34, 50
36, 8
23, 14
33, 11
50, 44
3, 13
28, 38
33, 38
36, 13
44, 33
40, 11
11, 18
6, 37
38, 19
32, 44
29, 47
50, 47
13, 32
45, 16
47, 3
30, 45
1, 22
7, 2
12, 31
10, 40
49, 20
35, 27
11, 19
37, 19
17, 11
21, 9
9, 44
38, 29
49, 6
38, 25
35, 15
18, 20
49, 35
34, 39
41, 28
39, 9
32, 3
38, 5
4, 13
18, 8
2, 4
27, 37
15, 15
41, 5
19, 27
21, 6
24, 45
19, 39
16, 45
9, 7
38, 39
11, 40
50, 30
36, 3
37, 35
7, 12
18, 41
50, 12
31, 23
19, 5
41, 44
13, 50
28, 33
48, 5
36, 11
16, 24
28, 23
21, 29
26, 27
12, 9
40, 39
8, 38
18, 2
38, 41
36, 22
44, 45
23, 4
4, 12
31, 3
25, 26
32, 18
44, 22
26, 28
5, 20
48, 10
30, 3
46, 42
29, 32
29, 35
13, 13
32, 25
18, 14
32, 48
12, 1
45, 9
15, 29
50, 20
49, 12
6, 47
26, 33
29, 28
32, 50
29, 10
4, 43
2, 48
2, 11
39, 48
39, 2
26, 39
41, 13
40, 47
29, 45
25, 8
10, 13
6, 34
10, 36
3, 39
21, 44
26, 20
35, 29
19, 7
33, 50
38, 16
21, 37
13, 46
44, 20
28, 3
44, 47
39, 19
37, 41
31, 38
42, 43
33, 41
13, 18
35, 45
30, 39
48, 48
15, 19
49, 16
22, 50
19, 23
43, 13
22, 34
25, 42
41, 30
12, 42
12, 36
34, 16
28, 41
25, 13
44, 30
27, 13
37, 25
5, 32
50, 28
10, 38
45, 26
6, 45
23, 36
48, 28
2, 17
28, 7
11, 28
48, 26
15, 17
18, 12
45, 36
34, 22
5, 35
4, 42
31, 5
35, 28
31, 8
1, 29
41, 46
2, 47
21, 3
24, 46
31, 40
45, 12
13, 27
15, 42
43, 12
39, 4
18, 7
16, 18
3, 38
44, 25
16, 3
3, 12
29, 15
2, 41
25, 45
18, 39
23, 44
32, 27
32, 41
31, 45
12, 43
47, 37
34, 31
44, 32
48, 47
29, 50
7, 9
30, 20
38, 43
46, 3
29, 8
11, 15
29, 20
23, 37
37, 50
47, 24
19, 21
34, 27
48, 49
19, 49
32, 8
33, 33
27, 16
40, 9
29, 29
5, 41
41, 48
19, 46
41, 37
8, 36
43, 3
23, 50
10, 42
21, 40
28, 5
38, 26
16, 11
47, 15
22, 31
31, 43
34, 18
14, 45
21, 34
49, 36
14, 16
26, 50
13, 16
3, 8
7, 7
28, 34
32, 17
18, 21
44, 48
16, 25
46, 38
24, 3
49, 24
1, 35
21, 4
48, 14
20, 44
7, 38
21, 8
32, 36
22, 43
39, 30
21, 32
48, 44
30, 2
49, 19
36, 17
12, 12
25, 1
2, 16
11, 34
49, 10
4, 7
41, 7
22, 40
20, 30
39, 23
21, 15
15, 40
38, 44
27, 6
1, 19
30, 36
4, 41
27, 21
38, 37
25, 4
45, 5
9, 20
27, 29
32, 32
47, 9
28, 46
1, 9
43, 18
23, 23
21, 27
2, 30
2, 28
8, 12
41, 41
47, 33
36, 49
5, 16
40, 41
5, 43
39, 31
6, 11
40, 28
20, 13
41, 35
14, 19
3, 48
14, 6
14, 23
8, 46
34, 2
